cell,pair,initiator,run_id,producer_seq,elapsed_ns,reason,epoch,live_streams,peak_streams,receiver_ceiling,sample_bytes,sample_blocked_ns,sample_elapsed_ns,sample_streams,sample_valid,blocked_ratio,chunk_bytes,prefetch_count,tcp_buffer_bytes,action,target_streams
windows_to_q_horizon,1,source_init,ldt4-004,49,4532921600,rebaseline,2,2,4,32,0,0,507818400,2,false,0.0,16777216,4,0,,
windows_to_q_horizon,1,source_init,ldt4-004,50,5033969200,cooldown,2,2,4,32,415236096,1001881600,501047300,2,true,0.9997874452172479,16777216,4,0,,
windows_to_q_horizon,1,source_init,ldt4-004,51,5534987300,cooldown,2,2,4,32,415236096,1005315300,501017400,2,true,1.0,16777216,4,0,,
windows_to_q_horizon,1,source_init,ldt4-004,52,6035855000,remove,3,2,4,32,413138944,1001706100,500867800,2,true,0.9999705511114909,16777216,4,0,REMOVE,1
windows_to_q_horizon,1,source_init,ldt4-004,60,6544901300,rebaseline,3,1,4,32,0,0,509046700,1,false,0.0,16777216,4,0,,
windows_to_q_horizon,1,source_init,ldt4-004,61,7046746700,cooldown,3,1,4,32,620756992,498540100,501844900,1,true,0.9934146984456751,16777216,4,0,,
windows_to_q_horizon,1,source_init,ldt4-004,62,7547660900,cooldown,3,1,4,32,620756992,500910100,500914100,1,true,0.9999920145989103,16777216,4,0,,
windows_to_q_horizon,1,source_init,ldt4-004,63,8048572300,bound,3,1,4,32,620756992,498270000,500911400,1,true,0.9947268119671463,16777216,4,0,,
windows_to_q_horizon,1,source_init,ldt4-004,64,8549633900,sustain,3,1,4,32,620756992,500909400,501062000,1,true,0.9996954468708463,16777216,4,0,,
windows_to_q_horizon,1,source_init,ldt4-004,65,9050554600,bound,3,1,4,32,620756992,498642600,500920400,1,true,0.99545277053999,16777216,4,0,,
windows_to_q_horizon,1,source_init,ldt4-004,66,9551500800,sustain,3,1,4,32,620756992,498712900,500946000,1,true,0.9955422340930958,16777216,4,0,,
windows_to_q_horizon,1,source_init,ldt4-004,67,10052423300,bound,3,1,4,32,620756992,500706100,500922800,1,true,0.9995673984094955,16777216,4,0,,
windows_to_q_horizon,1,source_init,ldt4-004,68,10553341300,sustain,3,1,4,32,620756992,498558900,500917500,1,true,0.9952914402072197,16777216,4,0,,
windows_to_q_horizon,1,source_init,ldt4-004,69,11054324800,bound,3,1,4,32,620756992,500955000,500983600,1,true,0.9999429123029177,16777216,4,0,,
windows_to_q_horizon,1,source_init,ldt4-004,70,11555356400,sustain,3,1,4,32,620756992,498571000,501031500,1,true,0.9950891311224943,16777216,4,0,,
windows_to_q_horizon,1,source_init,ldt4-004,71,12056221700,bound,3,1,4,32,620756992,501035800,500864800,1,true,1.0,16777216,4,0,,
windows_to_q_horizon,1,source_init,ldt4-004,72,12557246400,sustain,3,1,4,32,620756992,498336200,501025400,1,true,0.9946326074486443,16777216,4,0,,
windows_to_q_horizon,1,source_init,ldt4-004,73,13058537800,bound,3,1,4,32,620756992,499055000,501291300,1,true,0.9955389211821549,16777216,4,0,,
windows_to_q_horizon,1,source_init,ldt4-004,74,13559530500,sustain,3,1,4,32,620756992,500934100,500992400,1,true,0.9998836309692523,16777216,4,0,,
windows_to_q_horizon,1,source_init,ldt4-004,75,14060493300,bound,3,1,4,32,620756992,498492200,500962900,1,true,0.9950680978571467,16777216,4,0,,
windows_to_q_horizon,1,source_init,ldt4-004,76,14561513500,sustain,3,1,4,32,620756992,500966500,501020000,1,true,0.9998932178356154,16777216,4,0,,
windows_to_q_horizon,1,source_init,ldt4-004,77,15062382900,bound,3,1,4,32,620756992,498505600,500868700,1,true,0.9952819970583109,16777216,4,0,,
windows_to_q_horizon,1,source_init,ldt4-004,78,15563428800,sustain,3,1,4,32,620756992,501042400,501046500,1,true,0.9999918171267537,16777216,4,0,,
