block,run_id,cell,pair,role,phase,sample,q_before_ns,windows_ns,q_after_ns,rtt_ns,offset_windows_minus_q_ns
1,20260715T211759Z.30531-b1-off,wm_tcp_large,2,destination_init,before,3,1784150444564682000,1784150439982073300,1784150444565008000,326000,-4582771700
1,20260715T211759Z.30531-b1-off,wm_tcp_large,2,destination_init,after,1,1784150445976854000,1784150441664326200,1784150446251591000,274737000,-4449896300
1,20260715T211759Z.30531-b1-off,wm_tcp_large,2,destination_init,after,2,1784150446252313000,1784150441669781700,1784150446252784000,471000,-4582766800
1,20260715T211759Z.30531-b1-off,wm_tcp_large,2,destination_init,after,3,1784150446253054000,1784150441670475300,1784150446253425000,371000,-4582764200
1,20260715T211759Z.30531-b1-off,wm_tcp_large,2,source_init,before,1,1784150451612369000,1784150447321276300,1784150451909543000,297174000,-4439679700
1,20260715T211759Z.30531-b1-off,wm_tcp_large,2,source_init,before,2,1784150451910321000,1784150447327781600,1784150451910838000,517000,-4582797900
1,20260715T211759Z.30531-b1-off,wm_tcp_large,2,source_init,before,3,1784150451911131000,1784150447328486400,1784150451911463000,332000,-4582810600
1,20260715T211759Z.30531-b1-off,wm_tcp_large,2,source_init,after,1,1784150453623457000,1784150449310637700,1784150453898030000,274573000,-4450105800
1,20260715T211759Z.30531-b1-off,wm_tcp_large,2,source_init,after,2,1784150453898765000,1784150449316192900,1784150453899226000,461000,-4582802600
1,20260715T211759Z.30531-b1-off,wm_tcp_large,2,source_init,after,3,1784150453899491000,1784150449316857800,1784150453899831000,340000,-4582803200
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,2,destination_init,before,1,1784150460006243000,1784150455707605200,1784150460295757000,289514000,-4443394800
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,2,destination_init,before,2,1784150460296228000,1784150455713641300,1784150460296654000,426000,-4582799700
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,2,destination_init,before,3,1784150460296830000,1784150455714177700,1784150460297146000,316000,-4582810300
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,2,destination_init,after,1,1784150461571669000,1784150457258675900,1784150461845919000,274250000,-4450118100
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,2,destination_init,after,2,1784150461846584000,1784150457264022200,1784150461847047000,463000,-4582793300
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,2,destination_init,after,3,1784150461847385000,1784150457264747700,1784150461847734000,349000,-4582811800
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,2,source_init,before,1,1784150468512698000,1784150464213923000,1784150468803586000,290888000,-4444219000
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,2,source_init,before,2,1784150468804402000,1784150464220398100,1784150468804845000,443000,-4584225400
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,2,source_init,before,3,1784150468805119000,1784150464221087400,1784150468805500000,381000,-4584222100
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,2,source_init,after,1,1784150470631336000,1784150466320881800,1784150470912043000,280707000,-4450807700
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,2,source_init,after,2,1784150470912756000,1784150466326342400,1784150470913284000,528000,-4586677600
1,20260715T211759Z.30531-b1-off,wm_grpc_mixed,2,source_init,after,3,1784150470913598000,1784150466327147900,1784150470914041000,443000,-4586671600
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,2,destination_init,before,1,1784150477714383000,1784150473404419100,1784150478002203000,287820000,-4453873900
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,2,destination_init,before,2,1784150478003030000,1784150473410976100,1784150478004241000,1211000,-4592659400
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,2,destination_init,before,3,1784150478004572000,1784150473412079800,1784150478005100000,528000,-4592756200
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,2,destination_init,after,1,1784150479440082000,1784150475114367900,1784150479712725000,272643000,-4462035600
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,2,destination_init,after,2,1784150479713124000,1784150475119389300,1784150479713481000,357000,-4593913200
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,2,destination_init,after,3,1784150479713648000,1784150475119887500,1784150479713978000,330000,-4593925500
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,2,source_init,before,1,1784150490262924000,1784150485949824900,1784150490553519000,290595000,-4458396600
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,2,source_init,before,2,1784150490554333000,1784150485955895500,1784150490554870000,537000,-4598706000
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,2,source_init,before,3,1784150490555148000,1784150485956609100,1784150490555499000,351000,-4598714400
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,2,source_init,after,1,1784150491744181000,1784150487413778800,1784150492017509000,273328000,-4467066200
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,2,source_init,after,2,1784150492018390000,1784150487420162800,1784150492019711000,1321000,-4598887700
1,20260715T211759Z.30531-b1-off,mw_tcp_mixed,2,source_init,after,3,1784150492019929000,1784150487420996300,1784150492020320000,391000,-4599128200
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,2,destination_init,before,1,1784150501430469000,1784150497109963300,1784150501716650000,286181000,-4463596200
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,2,destination_init,before,2,1784150501717482000,1784150497116515800,1784150501717963000,481000,-4601206700
1,20260715T211759Z.30531-b1-off,wm_tcp_mixed,2,destination_init,before,3,1784150501718243000,1784150497117238200,1784150501718637000,394000,-4601201800
