block,run_id,pass,cell,pair,role,role_order,before_sample,before_min_rtt_ns,before_offset_windows_minus_q_ns,after_sample,after_min_rtt_ns,after_offset_windows_minus_q_ns,selected_max_rtt_ns,selected_offset_change_ns
2,20260715T211759Z.30531-b2-on,reverse,wm_grpc_mixed,3,destination_init,1,3,369000,-4606958300,3,417000,-4606957100,417000,1200
2,20260715T211759Z.30531-b2-on,reverse,wm_grpc_mixed,3,source_init,2,3,355000,-4607028800,3,520000,-4607090000,520000,-61200
2,20260715T211759Z.30531-b2-on,reverse,wm_tcp_large,3,destination_init,1,3,501000,-4607136800,3,355000,-4607091400,501000,45400
2,20260715T211759Z.30531-b2-on,reverse,wm_tcp_large,3,source_init,2,3,346000,-4607175400,3,337000,-4607184300,346000,-8900
2,20260715T211759Z.30531-b2-on,reverse,wm_tcp_large,4,source_init,1,3,400000,-4607231700,3,332000,-4607258000,400000,-26300
2,20260715T211759Z.30531-b2-on,reverse,wm_tcp_large,4,destination_init,2,3,358000,-4607310200,3,344000,-4607309200,358000,1000
2,20260715T211759Z.30531-b2-on,reverse,wm_grpc_mixed,4,source_init,1,3,356000,-4607378400,3,679000,-4607441200,679000,-62800
2,20260715T211759Z.30531-b2-on,reverse,wm_grpc_mixed,4,destination_init,2,3,373000,-4607469200,3,511000,-4607439900,511000,29300
2,20260715T211759Z.30531-b2-on,reverse,mw_tcp_mixed,4,source_init,1,3,345000,-4607521800,3,285000,-4607544500,345000,-22700
2,20260715T211759Z.30531-b2-on,reverse,mw_tcp_mixed,4,destination_init,2,3,363000,-4607616300,3,342000,-4607621400,363000,-5100
2,20260715T211759Z.30531-b2-on,reverse,wm_tcp_mixed,4,source_init,1,3,416000,-4607719600,3,701000,-4607759200,701000,-39600
2,20260715T211759Z.30531-b2-on,reverse,wm_tcp_mixed,4,destination_init,2,3,359000,-4607778600,3,706000,-4607806100,706000,-27500
3,20260715T211759Z.30531-b3-on,forward,wm_tcp_mixed,5,source_init,1,3,371000,-4608450200,3,539000,-4608492100,539000,-41900
3,20260715T211759Z.30531-b3-on,forward,wm_tcp_mixed,5,destination_init,2,3,361000,-4608529100,3,668000,-4608608600,668000,-79500
3,20260715T211759Z.30531-b3-on,forward,mw_tcp_mixed,5,source_init,1,3,407000,-4608594500,3,361000,-4608616100,407000,-21600
3,20260715T211759Z.30531-b3-on,forward,mw_tcp_mixed,5,destination_init,2,3,414000,-4608700800,3,322000,-4608684900,414000,15900
3,20260715T211759Z.30531-b3-on,forward,wm_grpc_mixed,5,source_init,1,3,331000,-4608781900,3,590000,-4608821700,590000,-39800
3,20260715T211759Z.30531-b3-on,forward,wm_grpc_mixed,5,destination_init,2,3,369000,-4608843200,3,452000,-4608840200,452000,3000
3,20260715T211759Z.30531-b3-on,forward,wm_tcp_large,5,source_init,1,3,345000,-4608929800,3,473000,-4608930200,473000,-400
3,20260715T211759Z.30531-b3-on,forward,wm_tcp_large,5,destination_init,2,3,367000,-4609000200,3,380000,-4608983200,380000,17000
3,20260715T211759Z.30531-b3-on,forward,wm_tcp_large,6,destination_init,1,3,345000,-4609201900,3,308000,-4609221000,345000,-19100
3,20260715T211759Z.30531-b3-on,forward,wm_tcp_large,6,source_init,2,3,330000,-4609271400,3,345000,-4609292800,345000,-21400
3,20260715T211759Z.30531-b3-on,forward,wm_grpc_mixed,6,destination_init,1,3,355000,-4609343800,3,336000,-4609344000,355000,-200
3,20260715T211759Z.30531-b3-on,forward,wm_grpc_mixed,6,source_init,2,3,399000,-4609395800,3,795000,-4609425800,795000,-30000
3,20260715T211759Z.30531-b3-on,forward,mw_tcp_mixed,6,destination_init,1,3,344000,-4609486400,3,398000,-4609492700,398000,-6300
3,20260715T211759Z.30531-b3-on,forward,mw_tcp_mixed,6,source_init,2,3,351000,-4609595600,3,393000,-4609620800,393000,-25200
3,20260715T211759Z.30531-b3-on,forward,wm_tcp_mixed,6,destination_init,1,3,347000,-4609665000,3,708000,-4609711700,708000,-46700
3,20260715T211759Z.30531-b3-on,forward,wm_tcp_mixed,6,source_init,2,3,367000,-4609739700,3,583000,-4609795200,583000,-55500
3,20260715T211759Z.30531-b3-on,forward,wm_tcp_large,7,destination_init,1,3,328000,-4610016100,3,352000,-4610001800,352000,14300
3,20260715T211759Z.30531-b3-on,forward,wm_tcp_large,7,source_init,2,3,325000,-4610071300,3,331000,-4610078900,331000,-7600
3,20260715T211759Z.30531-b3-on,forward,wm_grpc_mixed,7,destination_init,1,3,380000,-4610142400,3,412000,-4610134300,412000,8100
3,20260715T211759Z.30531-b3-on,forward,wm_grpc_mixed,7,source_init,2,3,377000,-4610199000,3,502000,-4610234600,502000,-35600
3,20260715T211759Z.30531-b3-on,forward,mw_tcp_mixed,7,destination_init,1,3,361000,-4610285900,3,399000,-4610296500,399000,-10600
3,20260715T211759Z.30531-b3-on,forward,mw_tcp_mixed,7,source_init,2,3,371000,-4610382100,3,385000,-4610395100,385000,-13000
3,20260715T211759Z.30531-b3-on,forward,wm_tcp_mixed,7,destination_init,1,3,368000,-4610464100,3,608000,-4610484700,608000,-20600
3,20260715T211759Z.30531-b3-on,forward,wm_tcp_mixed,7,source_init,2,3,396000,-4610553100,3,448000,-4610566600,448000,-13500
3,20260715T211759Z.30531-b3-on,forward,wm_tcp_mixed,8,source_init,1,3,336000,-4610669800,3,644000,-4610715000,644000,-45200
3,20260715T211759Z.30531-b3-on,forward,wm_tcp_mixed,8,destination_init,2,3,342000,-4610729400,3,677000,-4610774300,677000,-44900
3,20260715T211759Z.30531-b3-on,forward,mw_tcp_mixed,8,source_init,1,3,355000,-4610807700,3,325000,-4610808200,355000,-500
3,20260715T211759Z.30531-b3-on,forward,mw_tcp_mixed,8,destination_init,2,3,357000,-4610894600,3,363000,-4610910000,363000,-15400
3,20260715T211759Z.30531-b3-on,forward,wm_grpc_mixed,8,source_init,1,3,357000,-4610987900,3,567000,-4611006400,567000,-18500
3,20260715T211759Z.30531-b3-on,forward,wm_grpc_mixed,8,destination_init,2,3,396000,-4611068900,3,361000,-4611090300,396000,-21400
3,20260715T211759Z.30531-b3-on,forward,wm_tcp_large,8,source_init,1,3,414000,-4611117200,3,340000,-4611145100,414000,-27900
3,20260715T211759Z.30531-b3-on,forward,wm_tcp_large,8,destination_init,2,3,311000,-4611200100,3,354000,-4611211300,354000,-11200
4,20260715T211759Z.30531-b4-off,reverse,wm_tcp_large,5,source_init,1,3,349000,-4611496800,3,366000,-4611487300,366000,9500
4,20260715T211759Z.30531-b4-off,reverse,wm_tcp_large,5,destination_init,2,3,386000,-4611540700,3,348000,-4611544700,386000,-4000
4,20260715T211759Z.30531-b4-off,reverse,wm_grpc_mixed,5,source_init,1,3,394000,-4611611500,3,523000,-4611655700,523000,-44200
4,20260715T211759Z.30531-b4-off,reverse,wm_grpc_mixed,5,destination_init,2,3,388000,-4611699500,3,449000,-4611664000,449000,35500
4,20260715T211759Z.30531-b4-off,reverse,mw_tcp_mixed,5,source_init,1,3,338000,-4611758500,2,397000,-4611746700,397000,11800
4,20260715T211759Z.30531-b4-off,reverse,mw_tcp_mixed,5,destination_init,2,3,358000,-4611840200,3,399000,-4611850400,399000,-10200
4,20260715T211759Z.30531-b4-off,reverse,wm_tcp_mixed,5,source_init,1,3,352000,-4611937200,3,477000,-4611967100,477000,-29900
4,20260715T211759Z.30531-b4-off,reverse,wm_tcp_mixed,5,destination_init,2,3,392000,-4612002400,3,394000,-4612018000,394000,-15600
4,20260715T211759Z.30531-b4-off,reverse,wm_tcp_mixed,6,destination_init,1,3,331000,-4612135600,3,338000,-4612134400,338000,1200
4,20260715T211759Z.30531-b4-off,reverse,wm_tcp_mixed,6,source_init,2,3,361000,-4612201500,3,398000,-4612217600,398000,-16100
4,20260715T211759Z.30531-b4-off,reverse,mw_tcp_mixed,6,destination_init,1,3,297000,-4612279700,3,466000,-4612276100,466000,3600
4,20260715T211759Z.30531-b4-off,reverse,mw_tcp_mixed,6,source_init,2,3,371000,-4612371100,3,367000,-4612389000,371000,-17900
4,20260715T211759Z.30531-b4-off,reverse,wm_grpc_mixed,6,destination_init,1,3,353000,-4612460200,3,327000,-4612463900,353000,-3700
4,20260715T211759Z.30531-b4-off,reverse,wm_grpc_mixed,6,source_init,2,3,357000,-4612521800,3,662000,-4612554000,662000,-32200
4,20260715T211759Z.30531-b4-off,reverse,wm_tcp_large,6,destination_init,1,3,357000,-4612599800,3,331000,-4612611500,357000,-11700
4,20260715T211759Z.30531-b4-off,reverse,wm_tcp_large,6,source_init,2,3,326000,-4612666700,3,373000,-4612680000,373000,-13300
4,20260715T211759Z.30531-b4-off,reverse,wm_tcp_mixed,7,destination_init,1,3,343000,-4612743800,3,670000,-4612791300,670000,-47500
4,20260715T211759Z.30531-b4-off,reverse,wm_tcp_mixed,7,source_init,2,3,357000,-4612822200,3,621000,-4612865600,621000,-43400
4,20260715T211759Z.30531-b4-off,reverse,mw_tcp_mixed,7,destination_init,1,3,356000,-4612883400,3,378000,-4612921800,378000,-38400
