block,trace_state,pass,cell,pair,role,run_id,session_id,endpoint_role,initiator_role,interval_kind,interval_name,correlation,start_event,end_event,start_producer_seq,end_producer_seq,start_elapsed_ns,end_elapsed_ns,duration_ns
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,socket_accept_begin->socket_accept_end,,socket_accept_begin,socket_accept_end,118,119,149631000,149941375,310375
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,socket_accept_end->socket_trace_attached,,socket_accept_end,socket_trace_attached,119,120,149941375,149942209,834
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,socket_trace_attached->resize_received,,socket_trace_attached,resize_received,120,121,149942209,150062500,120291
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,resize_received->resize_arm_queue_begin,,resize_received,resize_arm_queue_begin,121,122,150062500,150063292,792
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,resize_arm_queue_begin->destination_prepared,,resize_arm_queue_begin,destination_prepared,122,123,150063292,150063500,208
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,destination_prepared->resize_ack_send_begin,,destination_prepared,resize_ack_send_begin,123,124,150063500,150063917,417
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,resize_ack_send_begin->resize_ack_sent,,resize_ack_send_begin,resize_ack_sent,124,125,150063917,150064917,1000
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,resize_ack_sent->resize_arm_ready,,resize_ack_sent,resize_arm_ready,125,126,150064917,150069334,4417
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,resize_arm_ready->socket_accept_begin,,resize_arm_ready,socket_accept_begin,126,127,150069334,150069584,250
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,socket_accept_begin->resize_received,,socket_accept_begin,resize_received,127,128,150069584,150508042,438458
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,resize_received->resize_arm_queue_begin,,resize_received,resize_arm_queue_begin,128,129,150508042,150508834,792
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,resize_arm_queue_begin->destination_prepared,,resize_arm_queue_begin,destination_prepared,129,130,150508834,150509000,166
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,destination_prepared->resize_ack_send_begin,,destination_prepared,resize_ack_send_begin,130,131,150509000,150509125,125
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,resize_ack_send_begin->resize_ack_sent,,resize_ack_send_begin,resize_ack_sent,131,132,150509125,150509375,250
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,resize_ack_sent->socket_accept_end,,resize_ack_sent,socket_accept_end,132,133,150509375,150517625,8250
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,socket_accept_end->socket_trace_attached,,socket_accept_end,socket_trace_attached,133,134,150517625,150518459,834
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,socket_trace_attached->resize_arm_ready,,socket_trace_attached,resize_arm_ready,134,135,150518459,150519084,625
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,resize_arm_ready->socket_accept_begin,,resize_arm_ready,socket_accept_begin,135,136,150519084,150519209,125
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,socket_accept_begin->resize_received,,socket_accept_begin,resize_received,136,137,150519209,150786042,266833
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,resize_received->resize_arm_queue_begin,,resize_received,resize_arm_queue_begin,137,138,150786042,150787084,1042
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,resize_arm_queue_begin->destination_prepared,,resize_arm_queue_begin,destination_prepared,138,139,150787084,150787292,208
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,destination_prepared->resize_ack_send_begin,,destination_prepared,resize_ack_send_begin,139,140,150787292,150787417,125
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,resize_ack_send_begin->resize_ack_sent,,resize_ack_send_begin,resize_ack_sent,140,141,150787417,150787709,292
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,resize_ack_sent->resize_arm_ready,,resize_ack_sent,resize_arm_ready,141,142,150787709,150789375,1666
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,resize_arm_ready->socket_accept_begin,,resize_arm_ready,socket_accept_begin,142,143,150789375,150789917,542
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,socket_accept_begin->socket_accept_end,,socket_accept_begin,socket_accept_end,143,144,150789917,150801500,11583
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,socket_accept_end->socket_trace_attached,,socket_accept_end,socket_trace_attached,144,145,150801500,150801834,334
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,socket_trace_attached->socket_accept_end,,socket_trace_attached,socket_accept_end,145,146,150801834,151180459,378625
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,socket_accept_end->socket_trace_attached,,socket_accept_end,socket_trace_attached,146,147,151180459,151181459,1000
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,socket_trace_attached->first_payload_received,,socket_trace_attached,first_payload_received,147,148,151181459,151380417,198958
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,first_payload_received->first_payload_received,,first_payload_received,first_payload_received,148,149,151380417,234532875,83152458
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,first_payload_received->first_payload_received,,first_payload_received,first_payload_received,149,150,234532875,254152292,19619417
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,first_payload_received->first_payload_received,,first_payload_received,first_payload_received,150,151,254152292,254188292,36000
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,first_payload_received->first_payload_received,,first_payload_received,first_payload_received,151,152,254188292,259365625,5177333
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,first_payload_received->first_payload_received,,first_payload_received,first_payload_received,152,153,259365625,808259334,548893709
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,first_payload_received->first_payload_received,,first_payload_received,first_payload_received,153,154,808259334,827330584,19071250
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,first_payload_received->data_plane_complete,,first_payload_received,data_plane_complete,154,155,827330584,1034383584,207053000
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,data_plane_complete->summary_send_begin,,data_plane_complete,summary_send_begin,155,156,1034383584,1034387542,3958
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,adjacent_local_timeline,summary_send_begin->summary_sent,,summary_send_begin,summary_sent,156,157,1034387542,1034389125,1583
3,on,forward,wm_tcp_mixed,8,source_init,20260715T211759Z.30531-b3-on,6ab61bc1b3b0b803,DESTINATION,SOURCE,named_local_span,socket_accept_begin->socket_accept_end,epoch=0;socket=0,socket_accept_begin,socket_accept_end,0,1,687417,1602834,915417
