block,trace_state,pass,cell,role,pair,role_order,transfer_ms,settled_ms,flush_ms,total_ms,landed_root,tree_manifest_sha256,exit,drain,valid,run_id,session_id,client_log
2,on,reverse,wm_grpc_mixed,source_init,2,2,1356,448,75,1629,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b2-on,,client/b2_wm_grpc_mixed_p2_source_init.windows.err
2,on,reverse,wm_tcp_large,destination_init,2,1,1262,416,0,1428,src_large,53d97ba62b210d01239d23ef1dc2acbd3f86b295285d4d2a9f195956f6597b47,0,drained,yes,20260715T211759Z.30531-b2-on,0ba675f095c14bee,client/b2_wm_tcp_large_p2_destination_init.err
2,on,reverse,wm_tcp_large,source_init,2,2,1359,473,0,1582,src_large,53d97ba62b210d01239d23ef1dc2acbd3f86b295285d4d2a9f195956f6597b47,0,drained,yes,20260715T211759Z.30531-b2-on,78005ae840eca239,client/b2_wm_tcp_large_p2_source_init.windows.err
2,on,reverse,wm_tcp_mixed,destination_init,3,1,1098,405,87,1340,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b2-on,476f47eda028148f,client/b2_wm_tcp_mixed_p3_destination_init.err
2,on,reverse,wm_tcp_mixed,source_init,3,2,1215,452,81,1498,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b2-on,c5c6ff020b51bf49,client/b2_wm_tcp_mixed_p3_source_init.windows.err
2,on,reverse,mw_tcp_mixed,destination_init,3,1,944,480,686,1860,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b2-on,e2c161801341f085,client/b2_mw_tcp_mixed_p3_destination_init.windows.err
2,on,reverse,mw_tcp_mixed,source_init,3,2,1023,399,1122,2294,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b2-on,79d83ced37525b46,client/b2_mw_tcp_mixed_p3_source_init.err
2,on,reverse,wm_grpc_mixed,destination_init,3,1,1204,412,87,1453,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b2-on,,client/b2_wm_grpc_mixed_p3_destination_init.err
2,on,reverse,wm_grpc_mixed,source_init,3,2,1356,461,87,1654,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b2-on,,client/b2_wm_grpc_mixed_p3_source_init.windows.err
2,on,reverse,wm_tcp_large,destination_init,3,1,1262,428,0,1440,src_large,53d97ba62b210d01239d23ef1dc2acbd3f86b295285d4d2a9f195956f6597b47,0,drained,yes,20260715T211759Z.30531-b2-on,4ab87ba0d49a3f65,client/b2_wm_tcp_large_p3_destination_init.err
2,on,reverse,wm_tcp_large,source_init,3,2,1355,467,0,1572,src_large,53d97ba62b210d01239d23ef1dc2acbd3f86b295285d4d2a9f195956f6597b47,0,drained,yes,20260715T211759Z.30531-b2-on,71b1a2fe8a14ffd6,client/b2_wm_tcp_large_p3_source_init.windows.err
2,on,reverse,wm_tcp_large,source_init,4,1,1354,465,0,1569,src_large,53d97ba62b210d01239d23ef1dc2acbd3f86b295285d4d2a9f195956f6597b47,0,drained,yes,20260715T211759Z.30531-b2-on,405e09b4f52ae71c,client/b2_wm_tcp_large_p4_source_init.windows.err
2,on,reverse,wm_tcp_large,destination_init,4,2,1260,420,0,1430,src_large,53d97ba62b210d01239d23ef1dc2acbd3f86b295285d4d2a9f195956f6597b47,0,drained,yes,20260715T211759Z.30531-b2-on,912b500284e9c7ea,client/b2_wm_tcp_large_p4_destination_init.err
2,on,reverse,wm_grpc_mixed,source_init,4,1,1367,459,87,1663,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b2-on,,client/b2_wm_grpc_mixed_p4_source_init.windows.err
2,on,reverse,wm_grpc_mixed,destination_init,4,2,1217,417,85,1469,src_mixed,7a65eb041da50fe0d51a4e2b1ff2c3960e93b19fa19f6ede54c7e9e73cff9035,0,drained,yes,20260715T211759Z.30531-b2-on,,client/b2_wm_grpc_mixed_p4_destination_init.err
